,Active Humans,Active Bots,Deactivated Humans,Deactivated Bots,Average Human Satisfaction
204,88,2258,1054,1919,49.48444095174941
205,88,2267,1060,1933,50.89780171956465
206,94,2268,1064,1947,51.401821073930655
207,92,2280,1069,1957,49.9857456497317
208,94,2285,1075,1967,52.43822423386571
209,95,2288,1080,1976,52.26261230230661
210,99,2298,1085,1991,54.22141156420849
211,99,2298,1092,2010,54.60454029329922
212,101,2302,1095,2026,51.05027513968983
213,98,2307,1101,2038,48.46550223618469
214,97,2317,1106,2049,47.16393834712209
215,102,2320,1108,2067,47.09716546575154
216,97,2321,1118,2079,49.855488488839796
217,90,2330,1127,2091,50.2701363346857
218,89,2330,1131,2114,49.468460989674995
219,87,2335,1138,2122,50.01366231518389
220,81,2333,1146,2143,49.308945647246844
221,84,2337,1146,2163,46.40565746321467
222,84,2339,1149,2176,43.80914457616732
223,85,2355,1150,2183,39.146449731998665
224,82,2368,1161,2192,44.886787208936134
225,80,2384,1166,2207,44.43849144352343
226,79,2373,1171,2229,44.69885170254078
